Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,0.875238,0.888779,0.840319,0.871718,0.871718,596962768
2022-11-03,0.871787,0.981326,0.870410,0.952122,0.952122,1002654774
2022-11-04,0.952053,1.189451,0.951667,1.169746,1.169746,2150586683
2022-11-05,1.169277,1.275244,1.164355,1.183722,1.183722,1364033580
2022-11-06,1.183831,1.210463,1.136698,1.137968,1.137968,806605557
2022-11-07,1.137815,1.287164,1.135734,1.252449,1.252449,1641348644
2022-11-08,1.252931,1.263939,0.941555,1.044419,1.044419,2461758515
2022-11-09,1.044603,1.065929,0.778945,0.813204,0.813204,1696088006
2022-11-10,0.813283,1.147168,0.806324,1.124960,1.124960,2117545790
2022-11-11,1.125002,1.151019,0.985067,1.061987,1.061987,1493675055
2022-11-12,1.062165,1.063584,0.932817,0.938973,0.938973,830459541
2022-11-13,0.938951,0.964450,0.873662,0.888060,0.888060,631517870
2022-11-14,0.887915,0.957332,0.841195,0.915709,0.915709,965406280
2022-11-15,0.915800,0.969939,0.911337,0.940134,0.940134,675911627
2022-11-16,0.940039,0.954230,0.885150,0.900538,0.900538,471985131
2022-11-17,0.900704,0.910607,0.867303,0.874883,0.874883,457936835
2022-11-18,0.874878,0.898460,0.870613,0.880288,0.880288,312611635
2022-11-19,0.880332,0.881812,0.855598,0.876095,0.876095,236332792
2022-11-20,0.876057,0.879953,0.804428,0.807574,0.807574,379584714
2022-11-21,0.807517,0.817848,0.772987,0.796284,0.796284,577576859
2022-11-22,0.796070,0.862456,0.782422,0.850011,0.850011,672822806
2022-11-23,0.850167,0.868818,0.840332,0.861176,0.861176,465038908
2022-11-24,0.861184,0.887733,0.845294,0.849300,0.849300,351857069
2022-11-25,0.849205,0.849205,0.823622,0.844214,0.844214,238415183
2022-11-26,0.844122,0.869175,0.842577,0.846645,0.846645,229116164
2022-11-27,0.846628,0.864477,0.843277,0.844904,0.844904,199630187
2022-11-28,0.844939,0.847751,0.809179,0.822698,0.822698,293294577
2022-11-29,0.822415,0.845024,0.817048,0.838892,0.838892,223650810
2022-11-30,0.839003,0.936996,0.839003,0.936996,0.936996,495703018
2022-12-01,0.936412,0.940099,0.908273,0.908376,0.908376,468978303
2022-12-02,0.908393,0.946198,0.902370,0.946198,0.946198,361496926
2022-12-03,0.946679,0.948614,0.901756,0.903188,0.903188,224283182
2022-12-04,0.903108,0.922386,0.902817,0.922119,0.922119,173986591
2022-12-05,0.921931,0.943986,0.901984,0.911139,0.911139,317851610
2022-12-06,0.911264,0.920311,0.900661,0.917389,0.917389,235153668
2022-12-07,0.917447,0.917791,0.875899,0.896219,0.896219,297194794
2022-12-08,0.896301,0.928863,0.888744,0.927781,0.927781,268116222
2022-12-09,0.927815,0.932367,0.909193,0.909515,0.909515,221578412
2022-12-10,0.909546,0.915603,0.902562,0.908252,0.908252,152011098
2022-12-11,0.908283,0.913791,0.891615,0.893233,0.893233,141914043
2022-12-12,0.893295,0.911576,0.875428,0.910573,0.910573,236843698
2022-12-13,0.910558,0.938251,0.882370,0.923434,0.923434,422558230
2022-12-14,0.923530,0.936157,0.900713,0.903347,0.903347,328675064
2022-12-15,0.903340,0.905715,0.873785,0.877981,0.877981,243269084
2022-12-16,0.877970,0.889978,0.789783,0.795795,0.795795,423423337
2022-12-17,0.795793,0.817401,0.785708,0.816142,0.816142,291109286
2022-12-18,0.816133,0.824450,0.806358,0.813864,0.813864,179850704
2022-12-19,0.814040,0.820761,0.765526,0.772779,0.772779,346669175
2022-12-20,0.772899,0.807115,0.770134,0.802671,0.802671,326769527
2022-12-21,0.802620,0.802673,0.787715,0.792996,0.792996,187415142
2022-12-22,0.793081,0.796686,0.772891,0.795728,0.795728,200780671
2022-12-23,0.795727,0.806155,0.792303,0.798734,0.798734,166134842
2022-12-24,0.798763,0.800643,0.794642,0.795994,0.795994,100230352
2022-12-25,0.796003,0.798593,0.787552,0.795133,0.795133,118950074
2022-12-26,0.795128,0.815221,0.794260,0.813517,0.813517,146611842
2022-12-27,0.813539,0.818456,0.800697,0.806025,0.806025,182445576
2022-12-28,0.806041,0.807651,0.777240,0.782831,0.782831,203426011
2022-12-29,0.782811,0.785617,0.770684,0.777419,0.777419,171915602
2022-12-30,0.777357,0.779847,0.751560,0.760533,0.760533,212498103
2022-12-31,0.760605,0.770648,0.755149,0.758517,0.758517,119298994
2023-01-01,0.758502,0.761818,0.749283,0.759973,0.759973,106486711
2023-01-02,0.759988,0.787734,0.751178,0.780852,0.780852,194853754
2023-01-03,0.780927,0.787312,0.772702,0.780077,0.780077,171447001
2023-01-04,0.780045,0.813555,0.777890,0.806372,0.806372,304446233
2023-01-05,0.806335,0.809470,0.787322,0.788527,0.788527,195814324
2023-01-06,0.788463,0.799642,0.774030,0.799216,0.799216,217674581
2023-01-07,0.799225,0.810505,0.798768,0.806735,0.806735,165603125
